Depth
0.0
50.0
105.0
165.5
232.05
305.255
385.781
474.359
571.795
678.974
796.871
926.558
1069.21
1226.14
1398.75
1588.62
1797.49
2027.24
2279.96
2557.96
2863.75
3200.13
3570.14
3977.15
4424.87
4917.35
5459.09
6055.0
6710.5
7431.55
8224.7
9097.17
10056.9
11112.6
12273.8
13551.2
14956.3
16502.0
18202.2
20072.4
22129.6
24392.6
26881.8
29620.0
32632.0
35945.2
39589.8
43598.7
48008.6
52859.5
57710.5
65471.5
77889.5
