Periods
0.00020004
0.000667557
0.0010016
0.00138523
0.00190876
0.00267523
0.00401284
0.00552792
0.0077101
0.0108507
0.016276
0.0225378
0.0308356
0.0450653
0.0651042
0.0901713
0.12335
0.180278
0.260417
0.36062
0.49334
0.720981
1.04167
1.44238
