,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
model05_0,1.2143785732426917,1.2143785732426917,1.2035950412570342,1.2035950412570342,1.2035950412570342,1.2071909995671928,1.2071909995671928,1.2071909995671928,1.286276024721775,1.286276024721775,1.3653610498763573,1.4013076041434895,1.4013076041434895,1.4013076041434895,1.4839885876082304,1.6493462115928936,1.7320271950576347,1.7320271950576347,1.7697717284798464,1.807516261902058,2.016012356774171,2.6882350705881195,2.810458566630152,2.810458566630152,2.8176461403056505,2.8643805695032594,2.932677719727365,3.3676453580775667,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,2.0170025481929104,2.0170025481929104,2.0170025481929104
model05_1,0.43311537238488446,0.43311537238488446,0.35642721847592634,0.35642721847592634,0.35642721847592634,0.21742909807038113,0.21742909807038113,0.21742909807038113,0.26535957427115164,0.26535957427115164,0.4474926912082916,0.40915013428449926,0.40915013428449926,0.40915013428449926,0.6296314539736965,0.8836589823285464,0.9507618227274179,1.0610031340137394,1.2047936940270871,1.3054457831529847,1.3222225789889073,1.3725486235518563,1.3725486235518563,1.4300665847351228,1.4843881385315816,1.6888887241701847,1.803920303591899,2.0148137040041183,2.06274678597178,2.331153804622447,2.9063160446758376,3.412460205665163,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.436602635914165,3.419608692837291,3.4031967043661666,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,2.0000390057297697,2.0000390057297697,2.0000390057297697
model05_2,1.5450981641568373,1.5450981641568373,1.5738571447484706,1.5738571447484706,1.5738571447484706,1.727232583977423,1.727232583977423,1.727232583977423,1.8230944049679274,1.8230944049679274,1.9189562259584325,2.0148137040041183,2.0148137040041183,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.2209168362809444,2.7745076694182003,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.4853174479492526,3.4616266839614305,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4230048756857743,3.400000296979359,3.400000296979359,3.400000296979359,2.0001866658536165,2.0001866658536165,2.0001866658536165
model05_3,1.081371545215002,1.081371545215002,1.164052528679743,1.164052528679743,1.164052528679743,1.2718965344259585,1.2718965344259585,1.2718965344259585,1.297059556707433,1.297059556707433,1.3222225789889073,1.3473856012703815,1.3473856012703815,1.3473856012703815,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.415687094439306,1.4803926292980716,1.5594776544526538,1.6529421699030524,1.821895752197875,1.9081683510279557,1.9908493344926967,2.0507646012160694,2.181374323703653,2.6954269872084375,3.0414207150511197,3.3676453580775667,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.479085322133941,3.4508388090309534,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.434509336511391,3.4006517387022135,3.400000296979359,3.400000296979359,2.0004081560393874,2.0004081560393874,2.0004081560393874
model05_4,0.9220028421357847,0.9220028421357847,0.6727655819163274,0.6727655819163274,0.6727655819163274,0.38518533047859593,0.38518533047859593,0.38518533047859593,0.23180815407171587,0.23180815407171587,0.07843141195931774,0.07843141195931774,0.07843141195931774,0.07843141195931774,0.18867098606771163,0.40915013428449926,0.6296314539736965,1.0705880132293442,1.0873648090652668,1.171240102355242,1.3054457831529847,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.4300665847351228,1.637763577760534,1.978867149736986,2.06274678597178,2.06274678597178,2.7157953984097,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4425003549784114,3.4121214559692787,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,2.001046568927785,2.001046568927785,2.001046568927785
model05_5,0.40915013428449926,0.40915013428449926,0.5193901426873749,0.5193901426873749,0.5193901426873749,0.773422013987044,0.773422013987044,0.773422013987044,0.9939002936148679,0.9939002936148679,1.1041416049011894,1.171240102355242,1.171240102355242,1.2047936940270871,1.3054457831529847,1.33899937482483,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3869281138476728,1.4300665847351228,1.5403035530766251,1.7128530936816062,1.9189562259584325,2.06274678597178,2.06274678597178,2.1777783653934946,2.7273780322420595,3.404794908059571,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.43765797150519,3.40766993752977,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,3.400000296979359,2.0031485542201968,2.0031485542201968,2.0031485542201968
model05_6,1.2718965344259585,1.2718965344259585,1.297059556707433,1.297059556707433,1.297059556707433,1.297059556707433,1.297059556707433,1.297059556707433,1.3222225789889073,1.3222225789889073,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.415687094439306,1.4372541584106215,1.4372541584106215,1.4803926292980716,1.642158637917395,1.6529421699030524,1.8003286882265592,1.897384819042298,1.9549027802255647,2.06274678597178,2.2604593488582356,2.537256936899273,2.972220232304656,3.2490178203456934,3.48627289580944,3.479085322133941,3.470998758880903,3.459672358792866,3.450925667927334,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,3.4431387678668086,2.0051115652783995,2.0051115652783995,2.0051115652783995
model05_7,0.5169928371472691,0.5169928371472691,0.49542577317595354,0.49542577317595354,0.49542577317595354,0.4379078119926869,0.4379078119926869,0.4379078119926869,0.40915013428449926,0.40915013428449926,0.49182981486579463,0.5996738206120101,0.5996738206120101,0.9555564338076299,0.9555564338076299,1.120914057792293,1.2287580635385085,1.253921085819983,1.3545731749458805,1.5271227155508615,1.5522857378323358,1.5522857378323358,1.591828250409627,1.6098036990156026,1.7499983007187911,1.8794137133811415,2.0735303179574376,2.626226504461973,2.972220232304656,3.2193641931213395,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,3.48627289580944,2.0097845739036786,2.0097845739036786,2.0097845739036786
model05_8,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.06274678597178,2.1849659390689933,2.1849659390689933,2.1849659390689933,2.1849659390689933,2.1849659390689933,2.5516320842502704,2.796079076334335,3.0405217254735804,3.1627452215156127,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,2.0199296930009387,2.0199296930009387,2.0199296930009387
model05_9,1.2383429427541133,1.2383429427541133,1.2718965344259585,1.2718965344259585,1.2718965344259585,1.33899937482483,1.33899937482483,1.33899937482483,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.3725486235518563,1.4300665847351228,1.4300665847351228,1.4732007126777538,1.6122010045557085,1.7080628255462134,1.847058774479349,2.0148137040041183,2.06274678597178,2.06274678597178,2.398256645021318,2.733770847015675,3.4467303832321488,3.57254983758434,3.571351184814287,3.566556573734075,3.5610453767587225,3.5581703472885233,3.5533757362083116,3.546531255173516,3.5424228293747113,3.5354046305471547,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,2.062190889034944,2.062190889034944,2.062190889034944
