,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
model03_0,2.1498308031624185,2.2519998706819826,2.300140313978929,2.3445669077250058,2.394061195115257,2.452432009249374,2.5311798452805774,2.5999562536804595,2.6771837378000107,2.7619584672915236,2.868149941014013,2.9558512239597583,3.039926860565714,3.1363247779934045,3.2163715535572517,3.2676036555447583,3.2916412200591765,3.2800623980361183,3.225455805198683,3.1473008348270444,3.053435668262693,2.9258199724761536,2.7967753293287765,2.683434006304995
model03_1,2.1341289882013927,2.2387614571391135,2.287989952900914,2.333379528318826,2.383902161438195,2.4434299306387666,2.5236550300738774,2.5936585501177136,2.672216551612933,2.7584295609285676,2.866470848071037,2.955842981714129,3.0417823930727472,3.1409466418116136,3.2244075591332915,3.279318071486401,3.307273816968944,3.300248788797712,3.2489449246608264,3.17230183647939,3.0785185389381966,2.949209628318672,2.8167597961782125,2.6994049855017086
model03_2,2.134266391053529,2.2388617861570657,2.288073279153939,2.333447362692202,2.3839528779917494,2.443460495639522,2.5236580579764083,2.593636648507967,2.6721647925340797,2.7583412012076662,2.8663269732387238,2.955639478595384,3.041501602239146,3.140532995557575,3.223807546003491,3.2784977444859074,3.3062019231116087,3.2988646677002755,3.2473171226796076,3.170549132302132,3.0767414341837545,2.94753703100997,2.8153359938159253,2.698310811105911
model03_3,2.1345666868887245,2.2391770563320357,2.288397554492134,2.3337812765062105,2.384299226508871,2.4438241352569112,2.524050389706898,2.5940602639244283,2.6726324695441326,2.758871859844929,2.866968226772722,2.956413425967471,3.042460273790122,3.1418265672452828,3.225587714938138,3.280864121391218,3.309244314381096,3.3027500995586143,3.251859260467902,3.1754220717921564,3.081667520054068,2.9521584044316347,2.819266699304932,2.701361288023113
model03_4,2.135302225627081,2.239855217041932,2.289052445595978,2.3344170122809533,2.3849163494987446,2.4444231515243198,2.5246319553230707,2.5946337175656025,2.673205826285338,2.7594583094696326,2.8675970606441488,2.9571090151583888,3.0432624228976404,3.1428404953917206,3.2269287022944164,3.2826144357540072,3.3114801446384585,3.3056102071987294,3.2552296694384864,3.17908121391132,3.085433144046113,2.95582570378003,2.8226082358272673,2.704257506070182
model03_5,2.138834905553001,2.244112049648076,2.293697686903984,2.339454489704518,2.3904357118280486,2.4505833957903316,2.531813155129107,2.602898543909408,2.6829794022546145,2.7713932748440455,2.8834048934286467,2.977730415058239,3.0708869048653593,3.1839862577601843,3.2894910916631646,3.3738260951611956,3.440213857911899,3.4905066679684364,3.4974671069027012,3.4661077669695044,3.4062473333600125,3.305634485509512,3.192030944458275,3.087866062825704
model03_6,2.1395447236158494,2.2435081233800482,2.2924475318460797,2.3375856606117065,2.387845373727723,2.447085858447219,2.5269609643032998,2.5966924384997627,2.6749805148122703,2.7609390498994153,2.868723584597602,2.957940250110311,3.0437895440350746,3.142953062303651,3.226565388621001,3.281757773567948,3.310101519908285,3.303606755218008,3.2527239123477165,3.176263681361123,3.0824332852673297,2.9527338680439152,2.819540689337831,2.70130361719506
model03_7,2.145020225157437,2.249275711975284,2.2984089810411694,2.3437646612327363,2.3943166023054787,2.4539799566453553,2.5345887870249157,2.6051558491748943,2.6846716465433635,2.7724705552644635,2.883683589624613,2.977277886414018,3.0696022343694067,3.1814161652647877,3.2852055731505887,3.367452993128476,3.431210549171572,3.4775884276684157,3.4805683139894423,3.446320879103637,3.384842131659322,3.2842104929703253,3.1726998338424184,3.0718417231852886
model03_8,2.152405554059245,2.254595380517554,2.3027737903260483,2.347254736163676,2.3968344660808354,2.455345097244592,2.534363172968525,2.6034733269015216,2.681221532768848,2.7668176224864665,2.8746097486460407,2.9644202501643977,3.0516712576403435,3.154314948634655,3.2442313366226765,3.3083541562449574,3.3485909832388905,3.359825119939861,3.327053212780613,3.265486242469112,3.1846907662404833,3.0703416507132446,2.953394893636547,2.8509846139087363
model03_9,2.126415055437733,2.1665536919665542,2.1815821273804246,2.1925021206107482,2.200715966976549,2.2041998285662023,2.1967500576017693,2.1777712008150383,2.1421984446468363,2.086476555500396,1.9947683659954922,1.903281594246799,1.8034979242312688,1.6728808099669619,1.5428887937414806,1.4320723438740497,1.3369259743085473,1.2494659949842708,1.206999068103114,1.2083529330222742,1.2378010194830738,1.2917833067622542,1.3436776614302421,1.38202292745054
