,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
model10_0,33.46767342127153,26.530690760101216,23.976959309168556,22.026737869391958,20.302701160324894,18.857141446656055,17.87572347167809,17.90042556909595,18.892516874838822,21.151643326742086,25.670907139772726,30.6680001150429,36.209159091190145,42.80284846018037,47.81370893920346,50.58496266088834,52.01539191706591,52.98069986753897,53.753710091582526,54.3068897035303,54.64526853487779,55.02459569234422,55.686864030886674,56.55199995256086
model10_1,44.47331612435602,41.49817119296529,39.535341428361875,37.49776099839985,35.053219074633354,32.051621590394845,28.02843079536767,24.738364723752237,21.466999513164073,18.521453600241077,15.894477780598756,14.669525043006301,14.369915502249702,15.32422091702408,17.794460648035713,21.33199487726399,25.83344095998012,32.1526141030764,38.03448011154744,42.0437170778795,44.46254665022822,45.774629320193775,45.99037828617638,45.76338046797584
model10_2,44.630667079029166,41.759298928011646,39.83361079879227,37.82145845471136,35.39405329236245,32.3968690571877,28.353962726637334,25.026457049796058,21.696669959900216,18.673793474594078,15.937270977971556,14.612119304850875,14.204866637905566,15.01260858374519,17.328622246072477,20.740545703706427,25.17357777518889,31.562803957576676,37.7187379030541,42.05766129657319,44.7194311771574,46.10693698951649,46.26697838843421,46.02721304244446
model10_3,45.98012412516732,44.10946409466549,42.58615251067767,40.88343746765811,38.71484745631404,35.89086150539858,31.846302873020143,28.314113144586845,24.574900653689028,20.949967810631218,17.32043279189283,15.173525862788258,13.891978944872324,13.510132371296256,14.507700435457005,16.64170802084235,19.879278790342834,25.273713572623123,31.513766376080667,37.000075069562456,41.43191581001496,45.102379615476764,47.01896316967996,47.77564691412574
model10_4,46.809256446110915,45.61752645996787,44.39361391706101,42.94067137674803,41.007704716419674,38.38770430526873,34.46936444341764,30.90250345295466,26.981002338625743,23.02324024810304,18.85502216500027,16.204775114181725,14.400355653425954,13.337514963621986,13.606179208156636,15.023234650307357,17.5222627011403,22.071133401842694,27.808342531508348,33.36850031336485,38.413766576977274,43.37028460303958,46.80154081206917,48.89342085689843
model10_5,49.95085490609817,51.6946815843478,51.935141613179894,51.839208840641994,51.38047878548207,50.37435293434721,48.25349321047155,45.74051984604551,42.29310725106255,37.94180706255631,32.07020010309654,27.242960640466354,22.899931218705518,18.46241324997288,15.293911283687676,13.524592279953511,12.77141254932171,13.124411283910694,14.793273115441393,17.293849630622404,20.408161786977637,24.572944143973533,28.324481571882647,31.058740574741
model10_6,42.56888365816701,38.43560296435312,36.0951461143715,33.82530270972535,31.261286834162153,28.305654901599517,24.63352511534222,21.870604048762438,19.37190777085008,17.435871500858948,16.27251423912443,16.44619134504319,17.713929180292116,20.87574926513502,25.697641602618276,31.151625380130394,36.82689001324162,43.014109962204,47.141537158418345,49.058176432232955,49.897274946550986,50.63643972893483,51.75006309693015,53.12638760278506
model10_7,33.92427395795947,27.024681349259225,24.436966090984047,22.43838102925393,20.64783861938802,19.112879146567074,17.998921545629013,17.899465040941873,18.743525146464062,20.830796864435378,25.13089929949034,29.965425567552785,35.39586930143485,41.95059635461346,47.01072425786572,49.85260660097609,51.3485342982295,52.41479157310743,53.38113885302976,54.20580592789521,54.831617220680315,55.4361421304631,56.065695813082584,56.73856230105982
model10_8,30.78172484199554,23.974367209089472,21.8139850006783,20.340221503625255,19.240314710458545,18.627949519007146,18.90654411237997,20.141267984291733,22.580596457983674,26.43608591727009,32.61051935417214,38.21061379564372,43.26517452524118,47.78348828994083,49.90928119040888,50.24296504591424,49.837153312619954,49.04757532387032,48.181579125325996,47.45515999163783,46.99336958918205,46.83732081747623,46.95661615933663,47.18121352217743
model10_9,42.79897693040671,38.9827282004825,36.78032685785536,34.61329205134649,32.12488346554131,29.195552310089116,25.443822510935682,22.507488041824665,19.710772403554756,17.33496163414329,15.459048227266814,14.890928150600553,15.281642181164807,17.16796371324616,20.627332746936876,25.007178147274914,30.07853377718345,36.382435400770376,41.26638768905084,43.74392202148835,44.47644644248098,43.98360461145677,43.08230258527516,42.43653638336484
