,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
model02_0,1.6641858556166067,1.4246908179182793,1.3234574917917994,1.2365875234424955,1.1474471035671445,1.0534475404676624,0.9484226118017786,0.8807765998439302,0.8356805932941649,0.8258674919453073,0.8668738270342871,0.9344501663871061,1.017024427516874,1.121843481158901,1.2086889217618224,1.2592752031420256,1.279059899704126,1.2713250780424277,1.248322784284714,1.2294647669303507,1.2186470856654195,1.2148535903094597,1.2159194941544123,1.2171081527583547
model02_1,1.6668433556346733,1.4489432412690268,1.360718025461048,1.2880364984600587,1.2177332927597762,1.1507155104810312,1.09038606956946,1.067171999590763,1.0712662136386915,1.1034962913342725,1.1633738575584525,1.2102559746323744,1.2401903722595242,1.2487321139809409,1.2361447489905275,1.222327246435171,1.2151091751597105,1.2140642391702878,1.215302761514831,1.21573073793739,1.2157187678811308,1.2156844126311113,1.2156855416652195,1.2156858357130471
model02_2,1.6689433640853375,1.4472262724526235,1.3555801140170745,1.2787816589829113,1.2027677165573203,1.1275405769309836,1.0542657611134045,1.0195062807633541,1.013024148837231,1.0397627850180706,1.1052116843467508,1.16784736993363,1.2205059006386518,1.2573706757252838,1.2599841800025924,1.244760818161114,1.2283421241193042,1.2179899408575925,1.2175133049850793,1.2194877351082125,1.2208743406174736,1.22198227949547,1.2232015251521597,1.2245199649437826
model02_3,1.674120776196302,1.4551601285418618,1.3645643886537144,1.288628466405588,1.2134684607693929,1.1391043254712163,1.0667054347815965,1.0323645379650828,1.025870330864911,1.0519174245184797,1.1153662640122752,1.1752726541550995,1.224402185714873,1.2566651011001562,1.2562532851415464,1.2406512548365736,1.225540371512002,1.21709845987189,1.2174078224385514,1.2193459194296656,1.2205349651232336,1.2214915624267308,1.2226233158700603,1.2238432182596624
model02_4,1.593176277980952,1.3475827573431614,1.2538852223252688,1.1801686641620948,1.1132457455192803,1.056196387779179,1.0179348748919046,1.0185464687187187,1.048966971983672,1.1042024890190327,1.1805100498053789,1.231102640803285,1.258314932889081,1.2596622070658932,1.2408175275405713,1.224200214930668,1.2166783817679707,1.2168178548032675,1.21913083043846,1.2202064285093377,1.2208964737474621,1.2219418800233792,1.2232020468835942,1.224520638982258
model02_5,1.6203379703422023,1.3826222900769773,1.289798837463738,1.21535336098569,1.1458828001620085,1.0836026470691185,1.0353883492226823,1.026293186266031,1.0469942985105622,1.0949309734638912,1.1680496303795682,1.2204511572950063,1.2519091980830364,1.2588316946788347,1.2429985728741235,1.226474593624057,1.2178034932672264,1.2167631111258956,1.218907333764356,1.220165630601345,1.2209153476064334,1.2219424202820732,1.2232017218318334,1.2245206787596024
model02_6,1.650767723725459,1.4183953876695914,1.323512766880868,1.2445700119420209,1.1670618809340891,1.0912619037942188,1.019211514820145,0.9871830414469842,0.98502632261306,1.017148144938262,1.089350689433475,1.1575570269387474,1.2158097703919712,1.2592001844317744,1.2661189229709617,1.251637085180067,1.2333646860730871,1.2196110156859752,1.2171824934227407,1.2190089821005299,1.2207557255645083,1.2220143203513791,1.2232035876140457,1.2245190912805273
model02_7,1.7219739041911768,1.5155909282070494,1.4259027772353072,1.3480111510011292,1.2673791853959664,1.18181786653482,1.0859868883954735,1.0245154141304567,0.9841415651672633,0.9763270721615809,1.014102805416563,1.072908943887275,1.1397902366051174,1.213258263178771,1.2572116358124241,1.2670903023928612,1.2568251763211766,1.2360319377564006,1.2225452197310074,1.2191468507294003,1.2202823511714675,1.222745090502252,1.2245113668727012,1.2259922915167423
model02_8,1.685046124141717,1.450411881747912,1.3490031706499426,1.2605958198799763,1.1680355988687052,1.0672883846332,0.9474213053823662,0.8604935073704116,0.786862905602943,0.7404417360871872,0.7374305912252213,0.7783003256498584,0.8476003836881081,0.9555882624903592,1.0672477142682093,1.1569852495269828,1.2239305848617217,1.2698837133050245,1.2785319327558249,1.266472546643743,1.2481634942129491,1.2283593480674329,1.217203083563933,1.2139336874166828
model02_9,1.8222426303946704,1.6364698659974215,1.550428074621094,1.4724522768380979,1.3875967332024348,1.2907803502750264,1.166891476081203,1.0664335354167132,0.9645833571591084,0.8702014865992956,0.7866754929475832,0.7549700262612928,0.7613681248813985,0.8158754617351878,0.9043039607759569,0.9962078781521023,1.0834634096309224,1.1726202260551806,1.2314125569994778,1.2589979143506804,1.266865692127381,1.2592797345651559,1.2440889559732005,1.2314895689087402
model02_10,1.69499066409099,1.449886258424921,1.3428621981284679,1.2485720938529463,1.1482360675057108,1.0357983836396514,0.893383575064121,0.7771765396469182,0.6556897345205809,0.5341957249060707,0.40353432736126166,0.3198959572842089,0.2680553174428714,0.25450710628223333,0.2949581376405165,0.3660573924339654,0.4534625869490764,0.5680831128333865,0.6748144870626176,0.7589995357291025,0.8285102634354315,0.8974792460373654,0.9520485251122008,0.9947079892337549
model02_11,1.7586830121221604,1.5530835974445067,1.4592747337087295,1.3749236178115802,1.2837092166573767,1.1801369170421918,1.0477838149909706,0.9398255055551021,0.8284710331120123,0.7210963291578405,0.6159315279903074,0.5620238275594431,0.5457039312961801,0.5771074528160203,0.6532264180311754,0.7446849034462094,0.8415955595151653,0.9562985547802209,1.0530392579530417,1.1215982483796023,1.171520060852097,1.212721231800115,1.2366984436250612,1.2476998706365727
model02_12,1.9374198026384435,1.8407087379214897,1.787422988228794,1.7343631322907644,1.6715453539939138,1.5935253976132728,1.4836509180001165,1.3851656011376712,1.2733375624254555,1.150199329328265,0.9960287770894405,0.8682609354550425,0.7439150926474697,0.5950304187015227,0.4575672789806633,0.3478916120478947,0.260136174353382,0.18610237676472133,0.15040622342654872,0.14065446281910163,0.14040195203181702,0.1441058728187362,0.15005133438961596,0.1554782273559891
model02_13,2.0857698258377297,2.132140854750297,2.1497092823332666,2.1626803286969376,2.1727936182139427,2.177927440216069,2.171603577905027,2.1525746259677194,2.1159319133747987,2.0581013906790075,1.962917219076287,1.8681575072089567,1.7648530343489208,1.6290560140832668,1.4918792381519306,1.3711405033358974,1.2611776681235793,1.1462999433220589,1.0683914329018187,1.0383854783927133,1.0480228446472708,1.102729576323047,1.1817407780793554,1.2545722924796279
model02_14,2.0407701730606824,2.0573256651301324,2.0587735421834954,2.055669578380267,2.0466842151935536,2.028146354618564,1.98933842738042,1.9431490190605023,1.8793266704740492,1.797485144495033,1.6824413471042228,1.580646445115161,1.4798900613744672,1.3632310825164846,1.2679766014495586,1.2094312220995496,1.1821122678823253,1.1836358619484737,1.2033578980959438,1.217416166980433,1.2197409057290443,1.2121318271770782,1.2055803679189783,1.2052653252505103
model02_15,1.8251681314414712,1.654277898235903,1.5715024364040457,1.4947315514815824,1.4093882703805567,1.3096582156465517,1.1775838081958097,1.0650123262428874,0.9417968380675381,0.8101368311374557,0.649527058995001,0.5192349442462942,0.39480500835588667,0.24974271108266352,0.12192463755046358,0.027607633232686397,-0.03864787349502104,-0.08085464605665005,-0.0864974406499157,-0.07297540287488927,-0.05074667217955223,-0.016195775884088662,0.01968361209283807,0.04691136710119393
model02_16,2.037016611243715,2.0427169703936507,2.0384253968503563,2.029708883624697,2.0142093980220928,1.9878331905552489,1.9386649609765472,1.884094083798442,1.8119964144113516,1.7226524015224214,1.600448536771174,1.4943363231163018,1.3905664311339903,1.2717925216924568,1.1766059890602816,1.1210799223720949,1.1012472402467421,1.1215096032057075,1.1726779730829902,1.2238110216825124,1.2621038739296246,1.283042878017305,1.2802958253301575,1.2697539962347977
model02_17,1.7890087593057524,1.5950387840129177,1.504848927458184,1.4229255521772284,1.3334884144468473,1.2308397163482698,1.097686704063816,0.9867888107537789,0.868831226813505,0.7485669313077469,0.6153646082665775,0.5256454006372645,0.464188539756076,0.43539460672811886,0.4606767276475115,0.5204883147191248,0.5993198259732258,0.7053634204938465,0.8042973281260777,0.8818578701418971,0.9457129401453787,1.0081993233344748,1.0542276843682048,1.0852893319885926
model02_18,2.0796001225407226,2.1064172814195286,2.1135261470677658,2.1160710973511194,2.1137404740014523,2.1032824941006107,2.075099948611782,2.037212959965987,1.9808903063239518,1.9044175876220273,1.791036177320937,1.6853147314100119,1.5742726059534795,1.431919665063367,1.2901172013164919,1.1655802399921604,1.051060907054798,0.9271846308559573,0.8329201408147496,0.7771482894654724,0.7467376911046346,0.7277964462663953,0.71218243281453,0.6952022975343921
model02_19,2.029579322657796,2.033475979812314,2.0282975579699203,2.0187720513196314,2.0024157438969783,1.9751414967025678,1.9250558017225303,1.8700431729942886,1.7979230367443517,1.7092211875870593,1.589074524148885,1.4861954910181887,1.3876433271606043,1.2792912022290919,1.1994378043741558,1.1602664194487347,1.1539025647504724,1.1780212396400793,1.2121652769917974,1.23198431701916,1.2344878697530755,1.2221930147037605,1.2094828504085957,1.2055796701423915
model02_20,2.117709629383609,2.2070849749851376,2.2483259363542274,2.2856983230739996,2.3263600208312503,2.372647579015901,2.4313227808297175,2.4778329109876394,2.522986239278817,2.561193110237241,2.5869320441829915,2.5848394245703714,2.5590476081286377,2.4950677980879346,2.402356278899527,2.300866349438231,2.1914962173262906,2.050231051992521,1.9105881896839638,1.7902176439348143,1.682575281629043,1.5715108271534575,1.4928461410049905,1.4511559052501384
model02_21,1.6655506439198928,1.4434487236401876,1.3522328978592622,1.2761759969731756,1.2013912528406039,1.1281674065006306,1.0584327348681075,1.02719744716281,1.024433084358741,1.053998211347298,1.1200238075641151,1.1802731249743876,1.228366180303722,1.2583564952993453,1.2560081802988354,1.2397446971093962,1.2248876384902219,1.217114173015606,1.2177634959811776,1.21974662335001,1.220944084755441,1.2219674091572672,1.2231991006960334,1.2245206010041771
model02_22,1.5907690895186732,1.3413655980948624,1.2449640311314254,1.1681589377682566,1.0971169808985592,1.0344505038678693,0.9881792537782353,0.9827374307584559,1.009013226509381,1.0642031312896383,1.1479131092187367,1.210459651170954,1.2521505654692628,1.2686193376515857,1.2551186405379713,1.2349009410603662,1.2209752521386592,1.2162443511351948,1.2182162045268048,1.2200133706047842,1.2209465856260655,1.221952096945764,1.2232003158428029,1.2245206929387533
model02_23,1.6514465892486967,1.424665052534713,1.3331711549837562,1.2579149226892739,1.1852425086625467,1.1161712729495035,1.0545589260484896,1.0318155740047517,1.0382705863203492,1.075226659898803,1.1440469595484126,1.2006409184538531,1.2408819136434501,1.259330307883528,1.2493724300677478,1.2321346033534915,1.2201987669560281,1.216462341767779,1.2184500008376613,1.2200866692599854,1.220940508692404,1.2219463679821103,1.2232010335074146,1.2245206925721266
model02_24,1.649300048649547,1.4218404252355448,1.3307016282400486,1.2561377320221008,1.1846445046445013,1.1174834990193736,1.0591109065587463,1.0393561550163037,1.0486054431660534,1.0871465798358408,1.1550526107454504,1.2084408033587584,1.2441069892249688,1.2572204907185207,1.244984246261876,1.2286945606545285,1.218825903687162,1.2166541403066982,1.2187199550798555,1.2201432726106765,1.220929288448652,1.2219426573083128,1.2232015395747253,1.224520695261742
model02_25,1.6284034648178431,1.3878042949480234,1.291625822619208,1.2128447936743754,1.137066297859555,1.0654262680306756,1.0023082836191621,0.9801495349363973,0.9892764554942218,1.0314189971165955,1.1101268302797622,1.1780931607262406,1.2317056138259959,1.2658543448445116,1.2643234137025299,1.2460785635662215,1.228062690555555,1.2173485097653274,1.2172900180083532,1.2195245249935747,1.2209209743044007,1.2219814929937929,1.2231996563750216,1.2245201762259204
