,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
model03_0,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.7446216542592277,3.7446216542592277,3.7446216542592277,3.7446216542592277,3.7446216542592277,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.742958306393538,3.7426282425872914,3.741299301472668,3.739970360358043,3.7389280536014753,3.737503567700833,3.7350715186021746,3.7338250934391124,3.7326264406690592,3.7310325799204747,3.7286179026010924,3.727319362100202,3.726233625895443,3.7246918804846874,3.723714717900405,3.7230285326189976,3.7230285326189976,3.7230285326189976,3.7230285326189976,3.7230285326189976,2.0191523058783316,2.0191523058783316,2.0191523058783316
model03_1,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.801266683533868,3.800528382914633,3.7989475510005053,3.796415614171009,3.794439574278349,3.7919510668970435,3.7909348178093896,3.788450653372903,3.787243314713212,3.785397563165124,3.7850284128555063,3.7850284128555063,3.7850284128555063,3.7850284128555063,3.7850284128555063,3.7850284128555063,3.7850284128555063,3.7850284128555063,2.0000520345642268,2.0000520345642268,2.0000520345642268
model03_2,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8016358338434864,3.798869377993763,3.7956599417724974,3.792780569357479,3.789458216570919,3.787243314713212,3.783447580941378,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,2.000238781191445,2.000238781191445,2.000238781191445
model03_3,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.821014053626009,3.821014053626009,3.821014053626009,3.821014053626009,3.821014053626009,3.821014053626009,3.81935070576032,3.81935070576032,3.817691700839449,3.817691700839449,3.81602835297376,3.81602835297376,3.8143693480528893,3.8110469952663295,3.8102174928058945,3.809387990345459,3.8071730884877524,3.8060656375588993,3.8044066326380284,3.8039897099354016,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.802443621579826,3.800115803156825,3.7974058055897486,3.7954384515867265,3.7934624116940667,3.7920422687382436,3.791117221491789,3.791117221491789,3.791117221491789,3.791117221491789,2.000525415549501,2.000525415549501,2.000525415549501
model03_4,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8222300781753384,3.8197198560699377,3.8178002744599255,3.814447521059632,3.811915584230136,3.8088320934086233,3.8066171915509166,3.804467433865495,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,3.8027432847723395,2.0013462321202984,2.0013462321202984,2.0013462321202984
model03_5,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.5901735076599732,3.5901735076599732,3.5901735076599732,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8226730585468798,3.8212876591496086,3.8190727572919014,3.816275900828445,3.81602835297376,3.815628802050409,3.813631047433654,3.8106517872877976,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809587765807135,3.8146472965213074,3.8146472965213074,2.0040779444114696,2.0040779444114696,2.0040779444114696
model03_6,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.809387990345459,3.8077246424797697,3.8077246424797697,3.8068951400193347,3.8060656375588993,3.8060656375588993,3.8060656375588993,3.8060656375588993,3.8060656375588993,3.805401167001587,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.8044066326380284,3.806730108116211,3.8077246424797697,3.8085584878850236,3.8085584878850236,2.0064101057792905,2.0064101057792905,2.0064101057792905
model03_7,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.782817853942618,3.781984008537364,3.7811545060769283,3.7811545060769283,3.780876557608511,3.7794955011560583,3.7794955011560583,3.778783258205737,3.7778321532903685,3.777002650829934,3.7746965471310276,3.7745141434486285,3.773154801720271,3.7728507955829387,3.7728507955829387,3.7724078152113973,3.7711917906620687,3.7711917906620687,3.772103809074065,3.7728507955829387,3.7728507955829387,3.7728507955829387,2.0116694119551384,2.0116694119551384,2.0116694119551384
model03_8,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,2.0623298632691527,2.0623298632691527,2.0623298632691527,3.7114068122832666,3.7114068122832666,3.7114068122832666,3.7114068122832666,3.7114068122832666,3.7114068122832666,3.709743464417577,3.709743464417577,3.709743464417577,3.709743464417577,3.7089139619571414,3.708084459496707,3.708084459496707,3.708084459496707,3.7072549570362714,3.706425454575836,3.705869557639,3.704762106710147,3.70421055271813,3.703103101789276,3.7025472048524404,3.7014397539235873,3.6997807490027164,3.698451807888093,3.697843795613428,3.6964583962161566,3.694326010310012,3.693136043429597,3.6918939612113535,3.6894011108852287,3.6881546857221665,3.68634367773263,3.6822699954923777,3.6788824985335324,3.677835848832145,3.6755340880780576,3.673501589902751,3.6732106125998754,3.6715472647341865,3.6715472647341865,3.6715472647341865,3.6715472647341865,2.021779787493846,2.021779787493846,2.021779787493846
model03_9,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.730190129399184,1.508765087800811,1.508765087800811,1.508765087800811,1.2319805285942305,1.2319805285942305,1.2319805285942305,1.2319805285942305,1.2319805285942305,1.2319805285942305,1.2319805285942305,1.1766253539308422,1.1323403456111676,1.1323403456111676,1.1323403456111676,1.309480378889866,1.451195011279716,1.451195011279716,1.451195011279716,1.451195011279716,1.5250033584791736,1.849760086156787,1.849760086156787,3.4622998404083805,3.6632435542401955,3.6632435542401955,3.6632435542401955,3.6632435542401955,3.660663845017691,3.65837511309806,3.656603191611895,3.6540712547823992,3.6513438854360465,3.6494069320467584,3.646762078651967,3.6437176743338258,3.6433181234104746,3.6405473246159317,3.63714679882263,3.635344476722731,3.631466226999335,3.630033055209054,3.628369707343365,3.626710702422494,3.625603251493641,3.625603251493641,2.066099539372073,2.066099539372073,2.066099539372073
