,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
model04_0,1.5882366350442871,1.5882366350442871,1.1856195926510584,1.1856195926510584,1.1856195926510584,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8441164697512554,0.7901944668781478,0.6823548040767512,0.4127452240056944,0.4127452240056944,0.4468933648232652,0.5493477760490613,0.6176449262731667,0.9591523921177888,1.0274495423418941,1.0274495423418941,1.0490209492580287,1.081371545215002,1.2071909995671928,1.4992627245367678,1.7392147687331336,1.7733676867900054,1.9270427892114708,1.946273348870147,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2838243919846306,2.837619343528381,3.7418291407405895,3.750654004612864,3.745099378189321,3.745099378189321,3.745099378189321,3.745099378189321,3.745099378189321,3.745099378189321,3.745099378189321,3.7486909935546606,3.7486909935546606,2.019438940236388,2.019438940236388,2.019438940236388
model04_1,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,0.5481491232790083,0.5481491232790083,0.2509805182698168,0.5241847537675869,0.5241847537675869,0.7973863834984655,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0921550772006596,1.1784320189755595,1.3653610498763573,1.7751613230002659,2.187363244609099,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.5228774466034563,3.5114359180909145,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5296285139378414,3.534205977777102,3.534205977777102,2.0000433486745886,2.0000433486745886,2.0000433486745886
model04_2,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.128105974412611,1.128105974412611,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8261453640900988,0.7542479126110155,0.7542479126110155,0.7542479126110155,0.46666679258432026,0.5769081038706416,0.5241847537675869,0.6607833971606166,0.7518506070709096,0.9939002936148679,1.0993469938209774,1.1808293245156656,1.3509815595805406,1.5738571447484706,1.8758177550709825,2.1394345055862565,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.504901997997481,3.2418302466701947,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,2.000204037632893,2.000204037632893,2.000204037632893
model04_3,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.7003259097379078,0.2509805182698168,0.2509805182698168,0.6949363152174884,1.0705880132293442,1.0732849819619634,1.181128987708179,1.7219602489671173,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.3333339629216012,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,3.5294113666968903,2.0004472425427586,2.0004472425427586,2.0004472425427586
model04_4,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.3581691332560395,1.3581691332560395,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.6104573525976679,0.43071893543374234,0.2509805182698168,0.2509805182698168,0.6759619893031353,0.9795208033190512,1.0705880132293442,1.120914057792293,1.2191731843229037,1.7535942590289502,2.19934542936481,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.3013308025501504,3.450982126209982,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,3.57254983758434,2.001176857272356,2.001176857272356,2.001176857272356
model04_5,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.7542479126110155,0.46666679258432026,0.46666679258432026,0.46666679258432026,0.5577340024946131,1.0130700520460774,1.0130700520460774,0.9411769435118131,0.7973863834984655,0.864489223897337,1.1065345674964764,1.7511969534888443,1.847058774479349,1.890197245366799,2.0800013057377966,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.9558473303369035,3.6553393946695567,3.650110489107442,3.641650432599967,3.6314358263856015,3.6227151931889843,3.6185068796593423,3.6156883084717903,3.6156883084717903,3.6156883084717903,3.6156883084717903,3.6156883084717903,2.0036306210951094,2.0036306210951094,2.0036306210951094
model04_6,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.4732007126777538,1.4732007126777538,1.4732007126777538,0.8441164697512554,0.8441164697512554,0.7901944668781478,0.6823548040767512,0.6823548040767512,0.2509805182698168,0.2509805182698168,0.2509805182698168,0.2509805182698168,0.31928114284977743,0.4217320797197183,0.9339850268914954,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0867654826802402,1.1604565703695842,1.2485314912995635,1.5954242087197859,2.208335325140207,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.617236608686576,3.7019609073018707,3.7019609073018707,3.7019609073018707,3.7019609073018707,3.6996504606581455,3.695012195591419,3.6886410955418985,3.6805936187922312,3.6724853408150975,3.669605968400078,3.669605968400078,3.669605968400078,2.0059150100699203,2.0059150100699203,2.0059150100699203
model04_7,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8441164697512554,0.8441164697512554,0.7901944668781478,0.6823548040767512,0.6014717997670896,0.520588795457428,0.41993453485912074,0.38758176742973804,0.4900318357107151,0.7632334654415938,1.074183971539503,1.0759819506945825,1.0957510355108186,1.2215704898630095,1.5630736127628126,2.1544133222670996,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,3.046115438400494,3.745099378189321,3.745099378189321,3.745099378189321,3.745099378189321,3.7427020726492146,3.737273391625424,3.729721010585126,3.7235279712731866,3.7209135184921287,3.720157846093617,3.720157846093617,2.011321976369616,2.011321976369616,2.011321976369616
model04_8,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,1.5882366350442871,0.2509805182698168,0.2509805182698168,0.2509805182698168,0.2509805182698168,0.2509805182698168,0.2509805182698168,0.38758176742973804,0.38758176742973804,0.6607833971606166,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.0705880132293442,1.081371545215002,1.183821613495979,1.1999990829468752,1.3779425610170943,2.0016328664783543,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.443340755187695,3.7446477119281414,3.7570815629450314,3.755882910174978,3.758823083817464,3.7618718310804242,3.7682081875713926,3.7781709029862536,3.7878122404845054,3.788233506131952,3.788233506131952,3.788233506131952,3.788233506131952,3.788233506131952,2.023299818180508,2.023299818180508,2.023299818180508
model04_9,1.5882366350442871,1.5882366350442871,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.8980384726243632,0.7542479126110155,0.6823548040767512,0.5385642440634035,0.3228757982764907,0.2509805182698168,0.3420477281801097,0.5697161872503238,0.8429178169812024,1.0250565797466071,1.0705880132293442,1.1065345674964764,1.171240102355242,1.5558816961424948,2.0771262762675966,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,2.2352919836319423,3.3281028455002755,3.788233506131952,3.788233506131952,3.788233506131952,3.788233506131952,3.79398790801717,3.8155853726022184,3.830043035904778,3.831371977019402,3.831371977019402,3.831371977019402,3.831371977019402,2.074468394038349,2.074468394038349,2.074468394038349
